module	Rg	Rg_mean	n_pairs_computable
module_1	0.5198645667534164	0.5229583079006138	6
module_2	0.5215453852617935	0.5176678072676226	6
module_3	0.3192820003274001	0.31520882356196306	6
module_4	0.3556860219204118	0.3371589418170583	6
module_5	0.0037454898051975556	-0.01637792929379216	6
module_6	0.12701865096421305	0.1550366841874858	6
module_7	-0.022032539328361328	-0.00694353702328841	6
module_8	-0.05807031149284039	-0.02502841468614976	6
