module	n_genes	mean_Rg	mean_ReproScore
1	148	0.22672385944324666	0.6711308495195963
2	133	0.2236231876728344	0.695777166701921
3	54	0.15157934896193276	0.6328818161725238
4	35	0.13183292540708902	0.6119230300815979
5	4	-0.14985371963824454	0.398231031543052
6	14	0.09347378523423501	0.5819936670320301
7	2	-0.03799966036751473	0.42838874680306904
8	2	-0.11146506355101556	0.3981244671781756
