gene	module	Rg	ReproScore
SKP2	3	0.0020488573900165497	0.5059676044330776
SLC9A3R1	2	0.05561421083664399	0.5426257459505541
SMAD2	2	0.422167853412754	0.8802216538789429
SMAD3	2	0.0095181988066498	0.5571184995737426
SMARCA1	1	0.5184099080193688	0.8209718670076727
SMARCA2	2	0.6479271866968384	0.9445865302642796
SMARCA4	2	0.25687888894791966	0.7774936061381074
SMARCB1	2	0.09265943688582977	0.572463768115942
SMARCD1	1	0.2792421936481807	0.8277919863597613
SMARCE1	2	0.3815815445779264	0.803921568627451
SMC1A	2	0.25165172295975086	0.7182438192668372
SMC3	3	0.11800355580736521	0.644927536231884
SMG1	1	-0.03315710367697032	0.46675191815856776
SNRPA	2	0.44974120168001086	0.8716965046888321
SOCS3	3	0.16974060797028573	0.6743393009377664
SOX2	2	0.3806960257228287	0.8380221653878943
SPEN	1	-0.0956223894297912	0.4121909633418585
SPOP	2	0.37694325786362615	0.8005115089514067
SQSTM1	2	0.18684665488496954	0.7591645353793691
SRSF1	2	0.1894165954520839	0.696078431372549
SRSF2	2	0.37487305267484927	0.788150042625746
SRSF3	2	0.270007070567361	0.7612958226768969
SSB	3	0.2488148329349234	0.6355498721227621
STAG1	3	-0.15994375703207345	0.37851662404092073
STAG2	1	-0.059068378381318634	0.4271099744245524
STAT1	1	0.31962935981142215	0.7468030690537084
STAT2	1	0.4159117785071743	0.7753623188405797
STAT3	2	0.3463272577999017	0.8363171355498722
STAT6	1	0.4015430164559832	0.6824381926683717
SUB1	1	-0.1319475509272537	0.4296675191815857
SUZ12	2	0.24489257399058637	0.8384484228473998
SYNE2	3	0.09683138380386339	0.6112531969309463
TACC1	2	0.45582950867286315	0.8452685421994885
TAF15	2	-0.05940562913248765	0.514919011082694
TAP1	1	0.37150149811996436	0.7728047740835464
TBL1XR1	6	0.41781407644877233	0.8167092924126172
TCEB1	4	0.5323840356026345	0.6606990622335891
TCERG1	2	-0.042901317728280215	0.4390451832907076
