gene,Rg,Rg_mean,n_pairs_computable,ReproScore,R_self,frac_pairs,empirical_p,evt_p,evt_method,evt_n_exc,evt_xi,evt_gof_p,empirical_FDR,evt_FDR,shuffle_p,shuffle_FDR,shuffle_FDR_low_power,atlas_member,strength_tier
HLA-C,0.5393044947774519,0.541160380141487,6,0.9002557544757034,0.541160380141487,0.3333333333333333,0.002997002997002997,0.0017469277057101384,gpd,250,-0.35397013256792276,0.385,0.03560076287349015,0.02540699139302456,0.002997002997002997,0.02540699139302456,FALSE,TRUE,strong
TCEB1,0.5323840356026345,0.27195959330639063,6,0.6606990622335891,0.27195959330639063,0,9.99000999000999e-4,0.0033993421423980097,gpd,250,-0.4057843977034289,0.15,0.023035787741670095,0.03919241528882411,9.99000999000999e-4,0.03919241528882411,FALSE,TRUE,strong
THBS1,0.5323033193115281,0.5423209865932123,6,0.9173060528559249,0.5423209865932123,0.5,0.001998001998001998,0.004350117213640342,gpd,250,-0.28947522919360624,0.075,0.03263403263403263,0.04372425507043626,0.001998001998001998,0.04372425507043626,FALSE,TRUE,strong
YAP1,0.531374937358907,0.5401902104914841,6,0.8768115942028986,0.5401902104914841,0.3333333333333333,0.005994005994005994,0.01467206562845147,gpd,250,-0.4209466175152161,0.125,0.04607157548334019,0.07252007252007253,0.005994005994005994,0.07252007252007253,FALSE,FALSE,not_member
COL1A1,0.5260936496633191,0.48387989274270327,6,0.876385336743393,0.48387989274270327,0.3333333333333333,0.001998001998001998,0.005928344944994779,gpd,250,-0.23478082283409554,0.055,0.03263403263403263,0.052816164055408024,0.001998001998001998,0.052816164055408024,FALSE,FALSE,not_member
TNC,0.5218030478088443,0.4497805411290026,6,0.8712702472293266,0.4497805411290026,0.5,9.99000999000999e-4,2.2250738585072014e-308,gpd,250,-0.38789684477791286,0.345,0.023035787741670095,1.744457905069646e-306,9.99000999000999e-4,1.744457905069646e-306,FALSE,TRUE,strong
ACTB,0.5211745368820853,0.5104628065464127,6,0.8942881500426257,0.5104628065464127,0.5,9.99000999000999e-4,0.004510837873019868,gpd,250,-0.3935169599910403,0.09,0.023035787741670095,0.04420621115559471,9.99000999000999e-4,0.04420621115559471,FALSE,TRUE,strong
SMARCA1,0.5184099080193688,0.4604205532409467,6,0.8209718670076727,0.4604205532409467,0.3333333333333333,0.004995004995004995,0.0025220297861638374,gpd,250,-0.46428584032262477,0.51,0.04166046719238209,0.03295452253920748,0.004995004995004995,0.03295452253920748,FALSE,TRUE,strong
COL1A2,0.5175376282599219,0.5367237342415467,6,0.9266837169650468,0.5367237342415467,0.5,9.99000999000999e-4,1.761452595635815e-4,gpd,250,-0.4237891530560777,0.915,0.023035787741670095,0.0080088985200093,9.99000999000999e-4,0.0080088985200093,FALSE,TRUE,strong
DEK,0.514017064296524,0.49841937235870304,6,0.9075021312872975,0.49841937235870304,0.6666666666666666,9.99000999000999e-4,0.0017056559343800281,gpd,220,-0.30985792609759394,0.06,0.023035787741670095,0.02540699139302456,9.99000999000999e-4,0.02540699139302456,FALSE,TRUE,strong
GSK3B,0.5134354605724649,0.5627910988656185,6,0.8640238704177323,0.5627910988656185,0.16666666666666666,0.01998001998001998,0.01998001998001998,empirical,NA,NA,NA,0.07678595913890032,0.08078334855310056,0.01998001998001998,0.08078334855310056,FALSE,FALSE,not_member
FAS,0.5129384989505892,0.45800698332130624,6,0.870843989769821,0.45800698332130624,0.3333333333333333,9.99000999000999e-4,0.00690032170758192,gpd,240,-0.33170219964534753,0.105,0.023035787741670095,0.05880274150808941,9.99000999000999e-4,0.05880274150808941,FALSE,FALSE,not_member
HLA-A,0.5050005683015352,0.4748064711737829,6,0.8721227621483376,0.4748064711737829,0.3333333333333333,0.004995004995004995,0.008037715304148473,gpd,230,-0.38770819444835586,0.675,0.04166046719238209,0.06564134165054586,0.004995004995004995,0.06564134165054586,FALSE,FALSE,not_member
GNB1,0.5041674627952639,0.4948730651481172,6,0.8610400682011935,0.4948730651481172,0,0.011988011988011988,0.011988011988011988,empirical,NA,NA,NA,0.06024744486282948,0.07120152574698028,0.011988011988011988,0.07120152574698028,FALSE,FALSE,not_member
RAC1,0.5031164991932597,0.4154061557709516,6,0.8000852514919011,0.4154061557709516,0.3333333333333333,0.008991008991008992,0.019663811581842827,gpd,250,-0.4879518916297978,0.26,0.05260411230560485,0.08078334855310056,0.008991008991008992,0.08078334855310056,FALSE,FALSE,not_member
ELP2,0.4964101438029118,0.4445785103347111,6,0.8712702472293266,0.4445785103347111,0.3333333333333333,9.99000999000999e-4,1.8387777214307066e-4,gpd,250,-0.37539879113238367,0.8,0.023035787741670095,0.0080088985200093,9.99000999000999e-4,0.0080088985200093,FALSE,TRUE,moderate
CARM1,0.49599505404322386,0.4983084122839983,6,0.8972719522591646,0.4983084122839983,0.3333333333333333,0.002997002997002997,0.004243321943540899,gpd,240,-0.3042762487454543,0.625,0.03560076287349015,0.04372425507043626,0.002997002997002997,0.04372425507043626,FALSE,TRUE,moderate
